,Player,Salary,
388,Joey Dorsey,"$1,015,421 ",
388,E'Twaun Moore,"$1,015,421 ",
388,Donald Sloan,"$1,015,421 ",
392,Phil Pressey,"$1,014,142 ",
393,Joseph Young,"$1,007,026 ",
393,Rakeem Christmas,"$1,007,026 ",
395,Robert Covington,"$1,000,000 ",
395,Montrezl Harrell,"$1,000,000 ",
395,Walter Tavares,"$1,000,000 ",
398,Tim Frazier,"$989,216 ",
399,Robert Sacre,"$981,358 ",
400,John Jenkins,"$981,349 ",
401,Christapher Johnson,"$981,348 ",
401,Quincy Acy,"$981,348 ",
401,Hassan Whiteside,"$981,348 ",
401,Thomas Robinson,"$981,348 ",
405,Jeff Withey,"$947,276 ",
405,Seth Curry,"$947,276 ",
405,Allen Crabbe,"$947,276 ",
405,Hollis Thompson,"$947,276 ",
405,Isaiah Canaan,"$947,276 ",
405,Dewayne Dedmon,"$947,276 ",
405,Ian Clark,"$947,276 ",
405,Gal Mekel,"$947,276 ",
405,Justin Holiday,"$947,276 ",
405,Troy Daniels,"$947,276 ",
405,Mike Muscala,"$947,276 ",
416,James Ennis,"$944,477 ",
417,Elton Brand,"$890,693 ",
418,Damien Inglis,"$855,000 ",
419,Eric Moreland,"$845,059 ",
419,Jerami Grant,"$845,059 ",
419,Joe Harris,"$845,059 ",
419,Devyn Marble,"$845,059 ",
419,Langston Galloway,"$845,059 ",
419,Cleanthony Early,"$845,059 ",
419,Jarnell Stokes,"$845,059 ",
419,Johnny O'Bryant,"$845,059 ",
419,Tyler Johnson,"$845,059 ",
419,JaMychal Green,"$845,059 ",
419,Russ Smith,"$845,059 ",
419,Jordan Clarkson,"$845,059 ",
419,Tarik Black,"$845,059 ",
419,Shayne Whittington,"$845,059 ",
419,James Michael McAdoo,"$845,059 ",
419,Spencer Dinwiddie,"$845,059 ",
419,Nick Johnson,"$845,059 ",
419,Dwight Powell,"$845,059 ",
419,Cameron Bairstow,"$845,059 ",
419,Markel Brown,"$845,059 ",
439,Raul Neto,"$840,000 ",
440,Kostas Papanikolaou,"$800,320 ",
441,Pierre Jackson,"$750,000 ",
442,Norman Powell,"$650,000 ",
443,Jimmer Fredette,"$625,167 ",
444,Pat Connaughton,"$625,093 ",
445,Ryan Hollins,"$615,906 ",
446,Darrun Hilliard,"$600,000 ",
447,Treveon Graham,"$525,093 ",
